Date,Close
18/03/2020,2.596
19/03/2020,2.845
20/03/2020,2.88
23/03/2020,3.17
24/03/2020,3.158
25/03/2020,2.969
26/03/2020,3.299
27/03/2020,3.454
30/03/2020,3.54
31/03/2020,3.517
01/04/2020,3.622
02/04/2020,3.547
03/04/2020,3.526
06/04/2020,3.437
07/04/2020,3.174
08/04/2020,3.142
09/04/2020,3.155
10/04/2020,3.224
13/04/2020,3.219
14/04/2020,3.244
15/04/2020,3.306
16/04/2020,3.278
17/04/2020,3.246
20/04/2020,3.229
21/04/2020,3.247
22/04/2020,3.246
23/04/2020,3.183
24/04/2020,3.197
27/04/2020,3.096
28/04/2020,3.065
29/04/2020,3.05
30/04/2020,2.974
01/05/2020,2.974
04/05/2020,3.042
05/05/2020,3.024
06/05/2020,3.11
07/05/2020,3.158
08/05/2020,3.063
11/05/2020,2.944
12/05/2020,2.946
13/05/2020,2.918
14/05/2020,3
15/05/2020,3.01
18/05/2020,2.999
19/05/2020,2.921
20/05/2020,2.951
21/05/2020,2.919
22/05/2020,3.026
25/05/2020,3.058
26/05/2020,3.053
27/05/2020,3.083
28/05/2020,3.158
29/05/2020,3.146
01/06/2020,3.126
02/06/2020,3.122
03/06/2020,3.101
04/06/2020,3.091
05/06/2020,3.096
08/06/2020,3.121
09/06/2020,3.113
10/06/2020,3.08
11/06/2020,3.059
12/06/2020,3.067
15/06/2020,3.073
16/06/2020,3.059
17/06/2020,3.071
18/06/2020,3.039
19/06/2020,3.069
22/06/2020,3.062
23/06/2020,3.055
24/06/2020,3.056
25/06/2020,3.019
26/06/2020,3.026
29/06/2020,3.043
30/06/2020,3.033
01/07/2020,3.019
02/07/2020,2.997
03/07/2020,3.007
06/07/2020,2.993
07/07/2020,2.957
08/07/2020,2.954
09/07/2020,2.919
10/07/2020,2.919
13/07/2020,2.911
14/07/2020,2.844
15/07/2020,2.83
16/07/2020,2.891
17/07/2020,2.881
20/07/2020,2.901
21/07/2020,2.897
22/07/2020,2.867
23/07/2020,2.909
24/07/2020,2.886
27/07/2020,2.907
28/07/2020,2.948
29/07/2020,3.057
30/07/2020,2.987
31/07/2020,2.966
03/08/2020,2.97
04/08/2020,2.901
05/08/2020,2.86
06/08/2020,2.871
07/08/2020,2.885
10/08/2020,2.869
11/08/2020,2.877
12/08/2020,2.867
13/08/2020,2.897
14/08/2020,2.889
17/08/2020,2.888
18/08/2020,2.888
19/08/2020,2.894
20/08/2020,2.902
21/08/2020,2.886
24/08/2020,2.9
25/08/2020,2.896
26/08/2020,2.893
27/08/2020,2.89
28/08/2020,2.882
31/08/2020,2.873
01/09/2020,2.91
02/09/2020,2.86
03/09/2020,2.922
04/09/2020,2.914
07/09/2020,2.922
08/09/2020,2.914
09/09/2020,2.918
10/09/2020,2.904
11/09/2020,2.878
14/09/2020,2.843
